idx,hypothesis,declarative,label,ref_id,url,ref_txt,doi,title,abstract_collected,file
42,IS THERE AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES?,THERE IS AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES,ENTAIL,rId161,https://doi.org/10.1080/03623319.2022.2066880,"Yang, Yan, & Hussain (2022).",https://doi.org/10.1080/03623319.2022.2066880,,"Smartphone distraction (SD) has been reported as an important factor associated with problematic smartphone use (PSU). The present study explored the relationship between SD, PSU, and mental health problems using the newly developed Smartphone distraction Scale (SDS). A total of three hundred and twenty smartphone users (Mage = 20.30, SD = 1.67) completed a questionnaire that comprised psychometric scales for the aforementioned variables. Results showed that SD was significantly correlated with PSU, anxiety, depression and stress. PSU fully mediated the relationships from SD to anxiety and depression. PSU partially mediated the relationship between SD and stress. The four-factor SDS was reliable and obtained good model fit in confirmatory factor analysis. This study suggests that being distracted by smartphone use can be associated with mental health issues while the level of PSU might be the bridge of this link. The present study is one of very few studies to examine SD in China, which aimed to investigate the relationships between SD, PSU and mental health issues (stress, anxiety and depression), and adopt the newly developed SDS in the Chinese context. Further studies are needed to explore the complex mechanism between SD and mental health.",Social Media and Mental Health
10,IS THERE AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES?,THERE IS AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES,ENTAIL,rId102,https://onlinelibrary.wiley.com/doi/abs/10.1111/jabr.12158,"Robinson, Bonnette, Howard, Ceballos, Dailey, Lu, & Grimes (2019)",https://doi.org/10.1111/jabr.12158,,"Although studies have shown that increases in the frequency of social media use may be associated with increases in depressive symptoms of individuals with depression, the current study aimed to identify specific social media behaviors related to major depressive disorder (MDD). Millennials (N = 504) who actively use Facebook, Twitter, Instagram, and/or Snapchat participated in an online survey assessing major depression and specific social media behaviors. Univariate and multivariate analyses were conducted to identify specific social media behaviors associated with the presence of MDD. The results identified five key social media factors associated with MDD. Individuals who were more likely to compare themselves to others better off than they were (p = 0.005), those who indicated that they would be more bothered by being tagged in unflattering pictures (p = 0.011), and those less likely to post pictures of themselves along with other people (p = 0.015) were more likely to meet the criteria for MDD. Participants following 300 + Twitter accounts were less likely to have MDD (p = 0.041), and those with higher scores on the Social Media Addiction scale were significantly more likely to meet the criteria for MDD (p = 0.031). Participating in negative social media behaviors is associated with a higher likelihood of having MDD. Research and clinical implications are considered.",Social Media and Mental Health
58,IS THERE A RISE IN RECENT YEARS IN TEEN SELF HARM AND SUICIDE ATTEMPTS?,THERE IS A RISE IN RECENT YEARS IN TEEN SELF HARM AND SUICIDE ATTEMPTS,ENTAIL,rId232,https://doi.org/10.1016/S2352-4642(23)00126-8,Trafford & Mok (2023).,https://doi.org/10.1016/S2352-4642(23)00126-8,,"Background Self-harm and eating disorders share multiple risk factors, with onset typically during adolescence or early adulthood. We aimed to examine the incidence rates of these psychopathologies among young people in the UK in the 2 years following onset of the COVID-19 pandemic. Methods We conducted a population-based study using the primary care electronic health records of patients aged 10 to 24 years in the UK Clinical Practice Research Datalink (CPRD). The observation period was from Jan 1, 2010, to March 31, 2022. We calculated the monthly incidence rates of eating disorders and self-harm according to the first record of each outcome. On the basis of antecedent trends between January, 2010, and February, 2020, negative binomial regression models were fitted to predict monthly incidence rates after the pandemic began in March, 2020. Percentage differences between observed and expected incidence were calculated to indicate changes since the onset of the pandemic, with stratification by sex, age, and deprivation quintile. Findings The primary care health records of 9 184 712 patients aged 10 to 24 years (4 836 226 [52.7%] female patients and 4 348 486 [47.3%] male patients; n=1881 general practices) were included for analysis. The incidence rates of eating disorders and self-harm among girls were higher than expected between March 1, 2020, and March 31, 2022. The observed incidence of eating disorders was 42.4% (95% CI 257613) higher than expected for girls aged 13 to 16 years, and 32�0% (13�3�53�8) higher than expected for girls aged 17�19 years, whereas other age groups showed little difference between observed and expected incidence. Similarly, the increase in self-harm incidence was driven by girls aged 13�16 years, for whom the observed incidence was 38�4% (20�7�58�5) higher than expected. By contrast, among boys in all age groups, the incidence rates of eating disorders and self-harm were lower than, or close to, the expected rates. Among boys, the observed incidence of eating disorders was 22�8% (9�2�34�4) lower than expected, and the observed incidence of self-harm was 11.5% lower than expected. The estimated increases in eating disorder and self-harm incidence among girls aged 13 to 16 years were largely attributable to increases within less deprived communities.",Adolescent mood disorders since 2010
143,DOES SOCIAL MEDIA DECREASE TRUST?,SOCIAL MEDIA DECREASES TRUST,CONTRADICT,rId255,https://doi.org/10.1177/19401612211025238,"Valenzuela, Halpern & Araneda (2021).",https://doi.org/10.1177/19401612211025238,,"Despite widespread concern, research on the consequences of misinformation on people's attitudes is surprisingly scant. To fill in this gap, the current study examines the long-term relationship between misinformation and trust in the news media. Based on the reinforcing spirals model, we analyzed data from a three-wave panel survey collected in Chile between 2017 and 2019. We found a weak, over-time relationship between misinformation and media skepticism. Specifically, initial beliefs on factually dubious information were negatively correlated with subsequent levels of trust in the news media. Lower trust in the media, in turn, was related over time to higher levels of misinformation. However, we found no evidence of a reverse, parallel process where media trust shielded users against misinformation, further reinforcing trust in the news media. The lack of evidence of a downward spiral suggests that the corrosive effects of misinformation on attitudes toward the news media are less serious than originally suggested. We close with a discussion of directions for future research.",Social Media and Political Dysfunction
169,THERE IS A NEED FOR AND LEGITIMACY OF FEDERAL REGULATION,THERE IS A NEED FOR AND LEGITIMACY OF FEDERAL REGULATION,INCONCLUSIVE,rId367,https://doi.org/10.2139/ssrn.4040269,Jones & Samples (forthcoming 2022).,https://doi.org/10.2139/ssrn.4040269,,"At the dawn of the Great Recession, the bankruptcy of Lehman Brothers shook the economy to its core. With other Wall Street institutions on the brink of insolvency, the financial system slid towards a free fall. Governments around the world responded with more than $11 trillion in emergency bailouts. Financial institutions deemed too-big-to-fail were rescued in the hopes of escaping an economic abyss. In the aftermath of the collapse, Congress acted to address dangerous risks and externalities in the financial sector. With the enactment of the Dodd-Frank Act, Congress codified the logic of systemic importance in financial regulation. In essence, if an institution is consequential enough to pose systemic risks to the entire economy, that institution should receive heightened regulatory scrutiny. A distinct but parallel set of questions now exists about certain digital platforms. A small number of companies some governed by dual-class share structures have immense power over social behavior, human health, and the information ecosystem. Yet, despite the enormous externalities generated by their business models, digital platforms remain virtually unregulated. Our paper addresses two primary questions: First, have some digital platforms attained systemically important status? And, if so, does their systemic importance warrant enhanced regulatory oversight? In addressing those questions, we consider parallels with financial regulation, drawing lessons from the framework for systemically important financial institutions (SIFIs) in the Dodd-Frank era.",Social Media and Political Dysfunction
57,IS THERE A RISE IN RECENT YEARS IN TEEN SELF HARM AND SUICIDE ATTEMPTS?,THERE IS A RISE IN RECENT YEARS IN TEEN SELF HARM AND SUICIDE ATTEMPTS,ENTAIL,rId229,https://doi.org/10.1186/s12888-021-03235-w,"Cybulski, Ashcroft, Carr, Garg, Chew-Graham, Kapur, & Webb (2021).",https://doi.org/10.1186/s12888-021-03235-w,"Temporal trends in annual incidence rates for psychiatric disorders and self-harm among children and adolescents in the UK, 20032018","AbstractBackgroundThere has been growing concern in the UK over recent years that a perceived mental health crisis is affecting children and adolescents, although published epidemiological evidence is limited.MethodsTwo population-based UK primary care cohorts were delineated in the Aurum and GOLD datasets of the Clinical Practice Research Datalink (CPRD). We included data from 9,133,246 individuals aged 120 who contributed 117,682,651 person-years of observation time. Sex- and age-stratified annual incidence rates were estimated for attention-deficit/hyperactivity disorder (ADHD) and autism spectrum disorder (ASD) (age groups: 15, 69, 1012, 1316, 1719), depression, anxiety disorders (69, 1012, 1316, 1719), eating disorders and self-harm (1012, 1316, 1719) during 20032018. We fitted negative binomial regressions to estimate incidence rate ratios (IRRs) to examine change in incidence between the first (2003) and final year (2018) year of observation and to examine sex-specific incidence.ResultsThe results indicated that the overall incidence has increased substantially in both boys and girls in between 2003 and 2018 for anxiety disorders (IRR 3.51 95% CI 3.183.89), depression (2.37; 2.032.77), ASD (2.36; 1.723.26), ADHD (2.3; 1.733.25), and self-harm (2.25; 1.822.79). The incidence for eating disorders also increased (IRR 1.3 95% CI 1.061.61), but less sharply. The incidence of anxiety disorders, depression, self-harm and eating disorders was in absolute terms higher in girls, whereas the opposite was true for the incidence of ADHD and ASD, which were higher among boys. The largest relative increases in incidence were observed for neurodevelopmental disorders, particularly among girls diagnosed with ADHD or ASD. However, in absolute terms, the incidence was much higher for depression and anxiety disorders.ConclusionThe number of young people seeking help for psychological distress appears to have increased in recent years. Changes to diagnostic criteria, reduced stigma, and increased awareness may partly explain our results, but we cannot rule out true increases in incidence occurring in the population. Whatever the explanation, the marked rise in demand for healthcare services means that it may be more challenging for affected young people to promptly access the care and support that they need.",Adolescent mood disorders since 2010
154,DOES SOCIAL MEDIA STRENGTHEN POPULIST MOVEMENTS?,SOCIAL MEDIA STRENGTHENS POPULIST MOVEMENTS,ENTAIL,rId269,https://doi.org/10.1177/1940161218787046,"Bobba, Cremonesi, Mancosu, & Seddone (2018).",https://doi.org/10.1177/1940161218787046,,"This paper clarifies whether and to what extent populist communication could drive different gender-oriented reactions. We adopted an original research design intending Facebook as a natural environment where investigating the interaction between social media users and populist and non-populist parties. Our case selection considers three countries falling into the pluralist polarized media system: France, Italy, and Spain. A human content analysis was carried out on a sample of 2,235 Facebook posts published during thirty days in 2016 by the four main parties/leaders in each country. An original algorithm allowed to identify the gender of users liking each message. We tested whether men tend more to provide likes to messages posted by populist parties, messages published by radical populists, messages containing populist contents, and different components of populist messages. Findings confirm the existence of a gender-oriented reaction to populism: Men tend to support populist actors and parties on Facebook more than women do, by providing likes to their content. Yet the difference in gender gap between radical and moderate parties is not significant. We also found that the antielite component of populist discourse obtains more likes by male Facebook users. This pattern is common for both populist and non-populist parties.",Social Media and Political Dysfunction
44,DOES PLAY POSITIVELY EFFECT MENTAL HEALTH OUTCOMES?,PLAY POSITIVELY EFFECTS MENTAL HEALTH OUTCOMES,ENTAIL,rId109,https://www.researchgate.net/profile/Lynn_Barnett/publication/16451792_Research_note_Young_children's_resolution_of_distress_through_play/links/5ac12dd0aca27222c75b56a5/Research-note-Young-childrens-resolution-of-distress-through-play.pdf,Barnett (1984).,https://doi.org/10.1111/j.1469-7610.1984.tb00165.x,RESEARCH NOTE: YOUNG CHILDREN'S RESOLUTION OF DISTRESS THROUGH PLAY,"It has been suggested that play is important to the young child as a means of resolving a distressing experience. Pre-school children were observed as they exhibited distress on the first day of school. High- and low-anxiety children were allowed either the opportunity for free play or participation in a story-reading session, each of which was performed in either the presence or absence of peers. The anxious children in the play condition were found to decrease in distress and their play was more solitary and imaginative in nature compared to other conditions.",Free Play and Mental Health Collaborative Review
29,IS THERE AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES?,THERE IS AN ASSOCIATION BETWEEN SOCIAL MEDIA USE AND BAD MENTAL HEALTH OUTCOMES,ENTAIL,rId141,https://www.sciencedirect.com/science/article/abs/pii/S0165032721006480,"Geng, Gu, Wang & Zhang (2021).",https://doi.org/10.1016/j.jad.2021.06.062,,"Owing to the widespread use of smartphones, researchers have an increasing interest in smartphone addiction. The purpose of this study is to look into the outcomes of smartphone addiction while answering when and how smartphone addiction may predict university students depression and anxiety. Primary data were collected from 355 students studying in different universities in China. Participants completed Smartphone Addiction Scale-Short Version (SAS-SV), Bedtime Procrastination Scale (BPS), Self-control Scale (SCS) and Depression-Anxiety-Stress Scale (DASS). PROCESS macros in SPSS24.0 were used to examine the moderated mediating effects. Smartphone addiction Scale scores were positively correlated with depression, anxiety among university students through bedtime procrastination. Self-control was found to play the moderating role such that the mediated relationships were weak for students with high self-control. This study is a cross sectional study, so we cannot make causal inferences. Individuals with smartphone addiction are inclined to postpone their bedtime and further experience more depression and anxiety. Self-control serves as a protective factor for bedtime procrastination, depression and anxiety.",Social Media and Mental Health
73,"DOES SOCIAL MEDIA AMPLIFY POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE?","SOCIAL MEDIA AMPLIFIES POSTS THAT ARE MORE EMOTIONAL, INFLAMMATORY, OR FALSE",ENTAIL,rId145,https://doi.org/10.1126/science.aap9559,"Vosoughi, Roy, & Aral (2018).",https://doi.org/10.1126/science.aap9559,,"Lies spread faster than the truthThere is worldwide concern over false news and the possibility that it can influence political, economic, and social well-being. To understand how false news spreads, Vosoughiet al.used a data set of rumor cascades on Twitter from 2006 to 2017. About 126,000 rumors were spread by 3 million people. False news reached more people than the truth; the top 1% of false news cascades diffused to between 1000 and 100,000 people, whereas the truth rarely diffused to more than 1000 people. Falsehood also diffused faster than the truth. The degree of novelty and the emotional reactions of recipients may be responsible for the differences observed.Science, this issue p.<jats:related-article xmlns:xlink=""http://www.w3.org/1999/xlink"" ext-link-type=""doi"" issue=""6380"" page=""1146"" related-article-type=""in-this-issue"" vol=""359"" xlink:href=""10.1126/science.aap9559"">1146</jats:related-article>",Social Media and Political Dysfunction
